insured_address_state,Industry Code,Category,input_gl_revenue,input_gl_employee,input_gl_gl_limit,input_gl_gl_deductible,input_property_bldg_limit,input_property_num_claims,input_property_town_grade,input_property_content_limit,input_property_bldg_deductible,input_property_cont_deductible,input_property_construction_class,output_premium_crime_prem,output_premium_eq_premium,output_premium_ebi_premium,output_premium_bldg_premium,output_premium_flood_premium,output_premium_content_premium,output_premium_on_prem_gl_prem,output_premium_products_gl_prem,output_premium_business_interuption_prem,output_premium_total_total_prem,output_debug_sd_factor_bi,output_debug_sd_factor_gl,output_debug_sd_factor_prop,vlookup for column P
Ontario,6412,B&P Services,"$500,000.00",6,"$3,000,000.00","$10,000.00",0,0,4,"$1,000,000.00","$1,000.00","$5,000.00",4,$114.84,$0.00,$378.40,$0.00,$0.00,"$1,194.37",$200.00,$383.63,$0.00,"$2,271.24",1,1,1,$0.00
Ontario,6412,B&P Services,"$200,000.00",2,"$2,000,000.00","$1,000.00",0,0,4,"$500,000.00","$1,000.00","$1,000.00",4,$56.30,$0.00,$305.00,$0.00,$0.00,$731.95,$90.00,$151.80,$0.00,"$1,335.06",1,1,1,$0.00
Ontario,7220,B&P Services,"$300,000.00",2,"$2,000,000.00","$1,000.00",0,0,4,"$250,000.00","$1,000.00","$1,000.00",4,$129.17,$0.00,$210.00,$0.00,$58.09,$546.48,$90.00,$300.15,$0.00,"$1,275.80",1,1,1,$0.00
Ontario,6411,B&P Services,"$100,000.00",2,"$2,000,000.00","$1,000.00",0,0,4,"$25,000.00","$1,000.00","$1,000.00",2,$412.79,$0.82,$79.00,$0.00,$0.00,$240.27,$332.30,$0.00,$184.82,"$1,250.00",1,1,1,$0.82
Ontario,6022,B&P Services,"$100,000.00",6,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",5,$325.04,$0.69,$79.00,$0.00,$0.00,$319.26,$162.60,$44.15,$319.26,"$1,250.00",1,1,1,$0.69
Ontario,6021,B&P Services,"$100,000.00",6,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",5,$324.47,$0.67,$79.00,$0.00,$2.08,$318.70,$162.31,$44.08,$318.70,"$1,250.00",1,1,1,$0.67
Ontario,6022,B&P Services,"$60,000.00",6,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",4,$620.66,$1.33,$79.00,$0.00,$0.00,$195.08,$186.29,$50.59,$117.05,"$1,250.00",1,1,1,$1.33
Ontario,7293,B&P Services,"$500,000.00",2,"$2,000,000.00","$1,000.00",0,0,3,"$50,000.00","$1,000.00","$1,000.00",2,$94.32,$1.37,$84.00,$0.00,$0.00,$109.80,$522.02,$195.76,$242.73,"$1,250.00",1.02375,0.952448372,0.890568,$1.37
Ontario,6411,B&P Services,"$100,000.00",1,"$2,000,000.00","$1,000.00",0,0,4,"$25,000.00","$1,000.00","$1,000.00",4,$140.02,$2.28,$79.00,$0.00,$0.00,$352.08,$405.79,$0.00,$270.83,"$1,250.00",1,1,1,$2.28
Ontario,6411,B&P Services,"$250,000.00",6,"$1,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",4,$432.17,$1.44,$79.00,$0.00,$0.00,$135.84,$340.34,$0.00,$261.22,"$1,250.00",1,1,1,$1.44
Ontario,6411,B&P Services,"$123,232.00",6,"$2,000,000.00","$1,000.00",0,0,4,"$25,000.00","$1,000.00","$1,000.00",4,$564.13,$2.19,$79.00,$0.00,$7.46,$177.31,$251.83,$0.00,$168.08,"$1,250.00",1,1,1,$2.19
