insured_address_state,Category,rejection,rejection_log
Ontario,Mfg./Proc.,0,[]
Ontario,,0,[]
Ontario,Hospitality,0,[]
Ontario,B&P Services,0,[]
Ontario,Mfg./Proc.,0,[]
Ontario,Hospitality,0,[]
Ontario,,1,"[{""fus_grade"": ""9""}]"
Ontario,Recreation,1,"[{""ibc_code"": ""7992""}]"
Ontario,B&P Services,0,[]
Ontario,Hospitality,0,[]
Ontario,,1,"[{""decline_uw_rule"": ""1.0""}]"
Alberta,,1,"[{""provincial_restriction"": ""T5M3V9""}]"
Ontario,,1,"[{""decline_uw_rule"": ""1.0""}]"
Ontario,Hospitality,1,"[{""decline_uw_rule"": ""1.0""}]"
Ontario,B&P Services,0,[]
Ontario,Wholesale,0,[]
Ontario,B&P Services,0,[]
Ontario,Retail,1,"[{""ibc_code"": ""5513""}, {""ibc_code"": ""5513""}]"
Ontario,B&P Services,0,[]
Ontario,B&P Services,0,[]
Ontario,Realty,1,"[{""decline_uw_rule"": ""2.0""}]"
Ontario,Health Serv.,1,"[{""ibc_code"": ""8080""}, {""ibc_code"": ""8080""}]"
Ontario,Health Serv.,0,[]
Ontario,Recreation,0,[]
Ontario,Retail,1,"[{""ibc_code"": ""5512""}, {""ibc_code"": ""5512""}]"
Ontario,Health Serv.,0,[]
Ontario,C. E. & I.,1,"[{""ibc_code"": ""1743""}]"
Ontario,B&P Services,0,[]
Ontario,Education,1,"[{""ibc_code"": ""8322""}, {""ibc_code"": ""8322""}]"
Ontario,B&P Services,0,[]
Ontario,Wholesale,1,"[{""ibc_code"": ""2060""}, {""ibc_code"": ""2060""}]"
Ontario,Retail,0,[]
Ontario,C. E. & I.,1,"[{""ibc_code"": ""1776""}, {""ibc_code"": ""1776""}]"
Ontario,Recreation,1,"[{""ibc_code"": ""7931""}, {""ibc_code"": ""7931""}]"
Ontario,Health Serv.,0,[]
Ontario,B&P Services,1,"[{""ibc_code"": ""7400""}]"
Ontario,B&P Services,0,[]
Ontario,Member Org.,0,[]
Ontario,B&P Services,0,[]
Ontario,,1,"[{""decline_uw_rule"": ""1.0""}]"
Ontario,Realty,1,"[{""ibc_code"": ""3892""}, {""ibc_code"": ""3892""}]"
Ontario,Transport,0,[]
Ontario,B&P Services,1,"[{""ibc_code"": ""8948""}, {""ibc_code"": ""8948""}]"
Ontario,B&P Services,1,"[{""ibc_code"": ""3594""}]"
Ontario,Health Serv.,0,[]
Ontario,B&P Services,0,[]
Ontario,B&P Services,0,[]
Ontario,C. E. & I.,0,[]
Ontario,Utilities,1,"[{""ibc_code"": ""4811""}, {""ibc_code"": ""4811""}]"
Ontario,B&P Services,0,[]
Ontario,C. E. & I.,0,[]
Ontario,Retail,0,[]
Ontario,B&P Services,0,[]
Ontario,Hospitality,1,"[{""ibc_code"": ""7032""}, {""ibc_code"": ""7032""}]"
Ontario,Education,1,"[{""ibc_code"": ""8322""}, {""ibc_code"": ""8322""}]"
Ontario,Wholesale,0,[]
Ontario,Retail,0,[]
Ontario,Education,0,[]
Ontario,Retail,0,[]
