insured_address_state,Industry Code,Category,input_gl_revenue,input_gl_employee,input_gl_gl_limit,input_gl_gl_deductible,input_property_bldg_limit,input_property_num_claims,input_property_town_grade,input_property_content_limit,input_property_bldg_deductible,input_property_cont_deductible,input_property_construction_class,output_premium_crime_prem,output_premium_eq_premium,output_premium_ebi_premium,output_premium_bldg_premium,output_premium_flood_premium,output_premium_content_premium,output_premium_on_prem_gl_prem,output_premium_products_gl_prem,output_premium_business_interuption_prem,output_premium_total_total_prem,output_debug_sd_factor_bi,output_debug_sd_factor_gl,output_debug_sd_factor_prop
Ontario,5312,Retail,1000000,26,2000000,1000,0,0,3,250000,1000,1000,4,875,4.27,210,0,0,430.56,2668,0,430.56,4618.39,1,1,1
Ontario,5312,Retail,350000,26,2000000,1000,0,0,3,1000000,1000,1000,4,875,17.09,473,0,0,1257.24,933.8,0,110.01,3666.13,1,1,1
Ontario,5811,Hospitality,333333,1,1000000,1000,0,0,3,25000,1000,1000,5,25,0.67,79,0,3.17,249.33,1866.66,0,831.1,3054.95,1,1,1
Ontario,5811,Hospitality,300000,1,2000000,1000,0,0,4,25000,1000,1000,5,25,0.62,79,0,0,249.33,1932,0,747.99,3033.94,1,1,1
Ontario,5811,Hospitality,300000,2,2000000,1000,0,0,3,70000,1000,1000,4,90,3.07,88,0,0,223.4,1932,0,239.36,2575.83,1,1,1
Ontario,5811,Hospitality,300000,2,2000000,1000,0,0,3,25000,1000,1000,4,90,0.64,79,0,0,79.79,1932,0,239.36,2420.78,1,1,1
Ontario,5811,Hospitality,300000,1,2000000,1000,0,0,3,25000,1000,1000,4,25,0.64,79,0,0,79.79,1932,0,239.36,2355.78,1,1,1
Ontario,5811,Hospitality,300000,1,2000000,1000,0,0,3,25000,1000,1000,4,25,0.64,79,0,0,79.79,1932,0,239.36,2355.78,1,1,1
Ontario,5811,Hospitality,200000,2,2000000,1000,0,0,3,250000,1000,1000,4,90,4.29,210,0,51.26,546.48,1288,0,109.3,2299.32,1,1,1
Ontario,6412,B&P Services,500000,6,3000000,10000,0,0,4,1000000,1000,5000,4,114.8436,,378.4,0,0,1194.37344,200,383.625,0,2271.24204,1,1,1
Ontario,5092,Wholesale,500000,6,2000000,1000,0,0,4,500000,1000,1000,4,140.76,,326,0,0,731.952,200,582.1875,226.40625,2207.30575,1,1,1
Ontario,5811,Hospitality,150000,6,3000000,1000,0,0,3,250000,1000,1000,4,200,4.29,210,0,51.26,546.48,1050,0,81.97,2144,1,1,1
Ontario,5811,Hospitality,200000,2,1000000,1000,0,0,3,250000,1000,1000,2,90,6.35,210,0,0,455.4,1120,0,91.08,1972.83,1,1,1
Ontario,5814,Hospitality,500000,2,2000000,1000,0,0,3,125000,1000,1000,2,90,3.18,136.5,0,0,161.46,1242,0,209.9,1843.03,1,1,1
Ontario,5813,Hospitality,300000,2,2000000,1000,0,0,3,25000,1000,1000,4,90,1.1,79,0,5.13,62.86,1380,0,188.59,1806.67,1,1,1
Québec,5431,Retail,250000,2,1000000,1000,0,0,4,500000,1000,1000,4,90,41.08,326,0,0,563.04,700,0,70.38,1790.5,1,1,1
